recordType,type,id,toId,floor,x,y,capacity,baseVelocity,congestionSensitivity,serviceRate,maxSimultaneousServices,length,width,isEscalator,maxConcurrentOccupancy,scannerCount,checkTimePerPerson,hasBannedItem,windowCount,buyTimePerPerson,hasAutoMachine,gateCount,isBidirectional,exitName,connectedStreet,isOneWay,totalExits,lineName,direction,waitCap,hasScreenDoor,nextTrainIn,stepCount
NODE,SECURITY,SEC_1_3,,1,800,300,50,5,1.2,0.6,1,,,,,4,8,0,,,,,,,,,,,,,,,
NODE,SECURITY,SEC_1_4,,1,900,300,50,5,1.2,0.6,1,,,,,4,8,0,,,,,,,,,,,,,,,
NODE,SECURITY,SEC_1_5,,1,1000,300,50,5,1.2,0.6,1,,,,,4,8,0,,,,,,,,,,,,,,,
NODE,TICKET,TIC_1_1,,1,100,300,100,8,1.5,0.8,1,,,,,,,,10,3,5,,,,,,,,,,,,
NODE,TICKET,TIC_1_2,,1,100,350,100,8,1.5,0.8,1,,,,,,,,10,3,5,,,,,,,,,,,,
NODE,TICKET,TIC_1_3,,1,100,400,100,8,1.5,0.8,1,,,,,,,,10,3,5,,,,,,,,,,,,
NODE,TICKET,TIC_1_4,,1,1100,350,100,8,1.5,0.8,1,,,,,,,,10,3,5,,,,,,,,,,,,
NODE,TICKET,TIC_1_5,,1,1100,450,100,8,1.5,0.8,1,,,,,,,,10,3,5,,,,,,,,,,,,
NODE,GATE,GIN_1_1,,1,100,500,200,10,1.2,1,5,,,,,,,,,,,4,0,,,,,,,,,,
NODE,GATE,GIN_1_2,,1,300,500,200,10,1.2,1,5,,,,,,,,,,,4,0,,,,,,,,,,
NODE,GATE,GIN_1_3,,1,500,500,200,10,1.2,1,5,,,,,,,,,,,4,0,,,,,,,,,,
NODE,GATE,GIN_1_4,,1,700,500,200,10,1.2,1,5,,,,,,,,,,,4,0,,,,,,,,,,
NODE,GATE,GIN_1_5,,1,900,500,200,10,1.2,1,5,,,,,,,,,,,4,0,,,,,,,,,,
NODE,STAIR,STAIR_1_1,,1,100,600,60,1,2.2,1,1,,,,,,,,,,,,,,,,,,,,,,30
NODE,STAIR,STAIR_1_2,,1,500,600,60,1,2.2,1,1,,,,,,,,,,,,,,,,,,,,,,30
NODE,STAIR,STAIR_1_3,,1,900,600,60,1,2.2,1,1,,,,,,,,,,,,,,,,,,,,,,30
NODE,PLATFORM,PLAT_1_1,,1,50,800,400,8,2.5,0.7,1,,,,,,,,,,,,,,,,,Line2,0,400,1,120,
NODE,PLATFORM,PLAT_1_2,,1,1100,800,400,8,2.5,0.7,1,,,,,,,,,,,,,,,,,Line2,1,400,1,120,
NODE,GATE,GOUT_1_1,,1,100,1100,200,10,1.2,1,5,,,,,,,,,,,4,0,,,,,,,,,,
NODE,GATE,GOUT_1_2,,1,300,1100,200,10,1.2,1,5,,,,,,,,,,,4,0,,,,,,,,,,
NODE,GATE,GOUT_1_3,,1,500,1100,200,10,1.2,1,5,,,,,,,,,,,4,0,,,,,,,,,,
NODE,GATE,GOUT_1_4,,1,700,1100,200,10,1.2,1,5,,,,,,,,,,,4,0,,,,,,,,,,
NODE,GATE,GOUT_1_5,,1,900,1100,200,10,1.2,1,5,,,,,,,,,,,4,0,,,,,,,,,,
NODE,EXIT,EXIT_1_1,,1,100,1300,100,5,1.8,0.7,1,,,,,,,,,,,,,E6,  һ·,1,5,,,,,,
NODE,EXIT,EXIT_1_2,,1,300,1300,100,5,1.8,0.7,1,,,,,,,,,,,,,E7,    ·,1,5,,,,,,
NODE,EXIT,EXIT_1_3,,1,500,1300,100,5,1.8,0.7,1,,,,,,,,,,,,,E8,    ·,1,5,,,,,,
NODE,EXIT,EXIT_1_4,,1,700,1300,100,5,1.8,0.7,1,,,,,,,,,,,,,E9,    ·,1,5,,,,,,
NODE,EXIT,EXIT_1_5,,1,900,1300,100,5,1.8,0.7,1,,,,,,,,,,,,,E10,    ·,1,5,,,,,,
NODE,HALL,HALL_2_1,,2,100,100,100,4,1,1,1,,,,,,,,,,,,,,,,,,,,,,
NODE,HALL,HALL_2_2,,2,300,100,100,4,1,1,1,,,,,,,,,,,,,,,,,,,,,,
NODE,HALL,HALL_2_3,,2,500,100,100,4,1,1,1,,,,,,,,,,,,,,,,,,,,,,
NODE,HALL,HALL_2_4,,2,700,100,100,4,1,1,1,,,,,,,,,,,,,,,,,,,,,,
NODE,HALL,HALL_2_5,,2,900,100,100,4,1,1,1,,,,,,,,,,,,,,,,,,,,,,
NODE,SECURITY,SEC_2_1,,2,100,200,50,5,1.2,0.6,1,,,,,5,5,0,,,,,,,,,,,,,,,
NODE,SECURITY,SEC_2_2,,2,300,200,50,5,1.2,0.6,1,,,,,5,5,0,,,,,,,,,,,,,,,
NODE,SECURITY,SEC_2_3,,2,800,300,50,5,1.2,0.6,1,,,,,5,5,0,,,,,,,,,,,,,,,
NODE,SECURITY,SEC_2_4,,2,900,300,50,5,1.2,0.6,1,,,,,5,5,0,,,,,,,,,,,,,,,
NODE,SECURITY,SEC_2_5,,2,1000,300,50,5,1.2,0.6,1,,,,,5,5,0,,,,,,,,,,,,,,,
NODE,TICKET,TIC_2_1,,2,100,300,100,8,1.5,0.8,1,,,,,,,,10,3,5,,,,,,,,,,,,
NODE,TICKET,TIC_2_2,,2,100,350,100,8,1.5,0.8,1,,,,,,,,10,3,5,,,,,,,,,,,,
NODE,TICKET,TIC_2_3,,2,100,400,100,8,1.5,0.8,1,,,,,,,,10,3,5,,,,,,,,,,,,
NODE,TICKET,TIC_2_4,,2,1100,350,100,8,1.5,0.8,1,,,,,,,,10,3,5,,,,,,,,,,,,
NODE,TICKET,TIC_2_5,,2,1100,450,100,8,1.5,0.8,1,,,,,,,,10,3,5,,,,,,,,,,,,
NODE,GATE,GIN_2_1,,2,100,500,200,10,1.2,1,5,,,,,,,,,,,4,0,,,,,,,,,,
NODE,GATE,GIN_2_2,,2,300,500,200,10,1.2,1,5,,,,,,,,,,,4,0,,,,,,,,,,
NODE,GATE,GIN_2_3,,2,500,500,200,10,1.2,1,5,,,,,,,,,,,4,0,,,,,,,,,,
NODE,GATE,GIN_2_4,,2,700,500,200,10,1.2,1,5,,,,,,,,,,,4,0,,,,,,,,,,
NODE,GATE,GIN_2_5,,2,900,500,200,10,1.2,1,5,,,,,,,,,,,4,0,,,,,,,,,,
NODE,STAIR,STAIR_2_1,,2,100,600,60,1,2.2,1,1,,,,,,,,,,,,,,,,,,,,,,30
NODE,STAIR,STAIR_2_2,,2,500,600,60,1,2.2,1,1,,,,,,,,,,,,,,,,,,,,,,30
NODE,STAIR,STAIR_2_3,,2,900,600,60,1,2.2,1,1,,,,,,,,,,,,,,,,,,,,,,30
NODE,PLATFORM,PLAT_2_1,,2,50,800,400,8,2.5,0.7,1,,,,,,,,,,,,,,,,,Line3,0,400,1,120,
NODE,PLATFORM,PLAT_2_2,,2,1100,800,400,8,2.5,0.7,1,,,,,,,,,,,,,,,,,Line3,1,400,1,120,
NODE,GATE,GOUT_2_1,,2,100,1100,200,10,1.2,1,5,,,,,,,,,,,4,0,,,,,,,,,,
NODE,GATE,GOUT_2_2,,2,300,1100,200,10,1.2,1,5,,,,,,,,,,,4,0,,,,,,,,,,
NODE,GATE,GOUT_2_3,,2,500,1100,200,10,1.2,1,5,,,,,,,,,,,4,0,,,,,,,,,,
NODE,GATE,GOUT_2_4,,2,700,1100,200,10,1.2,1,5,,,,,,,,,,,4,0,,,,,,,,,,
NODE,GATE,GOUT_2_5,,2,900,1100,200,10,1.2,1,5,,,,,,,,,,,4,0,,,,,,,,,,
NODE,EXIT,EXIT_2_1,,2,100,1300,100,5,1.8,0.7,1,,,,,,,,,,,,,E11,  һ·,1,5,,,,,,
NODE,EXIT,EXIT_2_2,,2,300,1300,100,5,1.8,0.7,1,,,,,,,,,,,,,E12, ϶ ·,1,5,,,,,,
NODE,EXIT,EXIT_2_3,,2,500,1300,100,5,1.8,0.7,1,,,,,,,,,,,,,E13,    ·,1,5,,,,,,
NODE,EXIT,EXIT_2_4,,2,700,1300,100,5,1.8,0.7,1,,,,,,,,,,,,,E14,    ·,1,5,,,,,,
NODE,EXIT,EXIT_2_5,,2,900,1300,100,5,1.8,0.7,1,,,,,,,,,,,,,E15,    ·,1,5,,,,,,
EDGE,EDGE,HALL_-1_1,SEC_-1_1,,,,,,,,,200,15,0,50,,,,,,,,,,,,,,,,,,
EDGE,EDGE,HALL_-1_1,SEC_-1_2,,,,,,,,,200,15,0,50,,,,,,,,,,,,,,,,,,
EDGE,EDGE,HALL_-1_1,SEC_-1_3,,,,,,,,,200,15,0,50,,,,,,,,,,,,,,,,,,
EDGE,EDGE,HALL_-1_1,SEC_-1_4,,,,,,,,,200,15,0,50,,,,,,,,,,,,,,,,,,
EDGE,EDGE,HALL_-1_1,SEC_-1_5,,,,,,,,,200,15,0,50,,,,,,,,,,,,,,,,,,
EDGE,EDGE,HALL_-1_2,SEC_-1_1,,,,,,,,,200,15,0,50,,,,,,,,,,,,,,,,,,
EDGE,EDGE,HALL_-1_2,SEC_-1_2,,,,,,,,,200,15,0,50,,,,,,,,,,,,,,,,,,
EDGE,EDGE,HALL_-1_2,SEC_-1_3,,,,,,,,,200,15,0,50,,,,,,,,,,,,,,,,,,
EDGE,EDGE,HALL_-1_2,SEC_-1_4,,,,,,,,,200,15,0,50,,,,,,,,,,,,,,,,,,
EDGE,EDGE,HALL_-1_2,SEC_-1_5,,,,,,,,,200,15,0,50,,,,,,,,,,,,,,,,,,
EDGE,EDGE,HALL_-1_3,SEC_-1_1,,,,,,,,,200,15,0,50,,,,,,,,,,,,,,,,,,
EDGE,EDGE,HALL_-1_3,SEC_-1_2,,,,,,,,,200,15,0,50,,,,,,,,,,,,,,,,,,
EDGE,EDGE,HALL_-1_3,SEC_-1_3,,,,,,,,,200,15,0,50,,,,,,,,,,,,,,,,,,
EDGE,EDGE,HALL_-1_3,SEC_-1_4,,,,,,,,,200,15,0,50,,,,,,,,,,,,,,,,,,
EDGE,EDGE,HALL_-1_3,SEC_-1_5,,,,,,,,,200,15,0,50,,,,,,,,,,,,,,,,,,
EDGE,EDGE,HALL_-1_4,SEC_-1_1,,,,,,,,,200,15,0,50,,,,,,,,,,,,,,,,,,
EDGE,EDGE,HALL_-1_4,SEC_-1_2,,,,,,,,,200,15,0,50,,,,,,,,,,,,,,,,,,
EDGE,EDGE,HALL_-1_4,SEC_-1_3,,,,,,,,,200,15,0,50,,,,,,,,,,,,,,,,,,
EDGE,EDGE,HALL_-1_4,SEC_-1_4,,,,,,,,,200,15,0,50,,,,,,,,,,,,,,,,,,
EDGE,EDGE,HALL_-1_4,SEC_-1_5,,,,,,,,,200,15,0,50,,,,,,,,,,,,,,,,,,
EDGE,EDGE,HALL_-1_5,SEC_-1_1,,,,,,,,,200,15,0,50,,,,,,,,,,,,,,,,,,
EDGE,EDGE,HALL_-1_5,SEC_-1_2,,,,,,,,,200,15,0,50,,,,,,,,,,,,,,,,,,
EDGE,EDGE,HALL_-1_5,SEC_-1_3,,,,,,,,,200,15,0,50,,,,,,,,,,,,,,,,,,
EDGE,EDGE,HALL_-1_5,SEC_-1_4,,,,,,,,,200,15,0,50,,,,,,,,,,,,,,,,,,
EDGE,EDGE,HALL_-1_5,SEC_-1_5,,,,,,,,,200,15,0,50,,,,,,,,,,,,,,,,,,
EDGE,EDGE,SEC_-1_1,TIC_-1_1,,,,,,,,,50,25,0,30,,,,,,,,,,,,,,,,,,
EDGE,EDGE,SEC_-1_1,TIC_-1_2,,,,,,,,,50,25,0,30,,,,,,,,,,,,,,,,,,
EDGE,EDGE,SEC_-1_1,TIC_-1_3,,,,,,,,,50,25,0,30,,,,,,,,,,,,,,,,,,
EDGE,EDGE,SEC_-1_1,TIC_-1_4,,,,,,,,,50,25,0,30,,,,,,,,,,,,,,,,,,
EDGE,EDGE,SEC_-1_1,TIC_-1_5,,,,,,,,,50,25,0,30,,,,,,,,,,,,,,,,,,
EDGE,EDGE,SEC_-1_2,TIC_-1_1,,,,,,,,,50,25,0,30,,,,,,,,,,,,,,,,,,
EDGE,EDGE,SEC_-1_2,TIC_-1_2,,,,,,,,,50,25,0,30,,,,,,,,,,,,,,,,,,
EDGE,EDGE,SEC_-1_2,TIC_-1_3,,,,,,,,,50,25,0,30,,,,,,,,,,,,,,,,,,
EDGE,EDGE,SEC_-1_2,TIC_-1_4,,,,,,,,,50,25,0,30,,,,,,,,,,,,,,,,,,
EDGE,EDGE,SEC_-1_2,TIC_-1_5,,,,,,,,,50,25,0,30,,,,,,,,,,,,,,,,,,
EDGE,EDGE,SEC_-1_3,TIC_-1_1,,,,,,,,,50,25,0,30,,,,,,,,,,,,,,,,,,
EDGE,EDGE,SEC_-1_3,TIC_-1_2,,,,,,,,,50,25,0,30,,,,,,,,,,,,,,,,,,
EDGE,EDGE,SEC_-1_3,TIC_-1_3,,,,,,,,,50,25,0,30,,,,,,,,,,,,,,,,,,
EDGE,EDGE,SEC_-1_3,TIC_-1_4,,,,,,,,,50,25,0,30,,,,,,,,,,,,,,,,,,
EDGE,EDGE,SEC_-1_3,TIC_-1_5,,,,,,,,,50,25,0,30,,,,,,,,,,,,,,,,,,
EDGE,EDGE,SEC_-1_4,TIC_-1_1,,,,,,,,,50,25,0,30,,,,,,,,,,,,,,,,,,
EDGE,EDGE,SEC_-1_4,TIC_-1_2,,,,,,,,,50,25,0,30,,,,,,,,,,,,,,,,,,
EDGE,EDGE,SEC_-1_4,TIC_-1_3,,,,,,,,,50,25,0,30,,,,,,,,,,,,,,,,,,
EDGE,EDGE,SEC_-1_4,TIC_-1_4,,,,,,,,,50,25,0,30,,,,,,,,,,,,,,,,,,
EDGE,EDGE,SEC_-1_4,TIC_-1_5,,,,,,,,,50,25,0,30,,,,,,,,,,,,,,,,,,
EDGE,EDGE,SEC_-1_5,TIC_-1_1,,,,,,,,,50,25,0,30,,,,,,,,,,,,,,,,,,
EDGE,EDGE,SEC_-1_5,TIC_-1_2,,,,,,,,,50,25,0,30,,,,,,,,,,,,,,,,,,
EDGE,EDGE,SEC_-1_5,TIC_-1_3,,,,,,,,,50,25,0,30,,,,,,,,,,,,,,,,,,
EDGE,EDGE,SEC_-1_5,TIC_-1_4,,,,,,,,,50,25,0,30,,,,,,,,,,,,,,,,,,
EDGE,EDGE,SEC_-1_5,TIC_-1_5,,,,,,,,,50,25,0,30,,,,,,,,,,,,,,,,,,
EDGE,EDGE,TIC_-1_1,GIN_-1_1,,,,,,,,,50,5,0,15,,,,,,,,,,,,,,,,,,
EDGE,EDGE,TIC_-1_1,GIN_-1_2,,,,,,,,,50,5,1,15,,,,,,,,,,,,,,,,,,
EDGE,EDGE,TIC_-1_1,GIN_-1_3,,,,,,,,,50,5,0,15,,,,,,,,,,,,,,,,,,
EDGE,EDGE,TIC_-1_1,GIN_-1_4,,,,,,,,,50,5,0,15,,,,,,,,,,,,,,,,,,
EDGE,EDGE,TIC_-1_1,GIN_-1_5,,,,,,,,,50,5,0,15,,,,,,,,,,,,,,,,,,
EDGE,EDGE,TIC_-1_2,GIN_-1_1,,,,,,,,,50,5,0,15,,,,,,,,,,,,,,,,,,
EDGE,EDGE,TIC_-1_2,GIN_-1_2,,,,,,,,,50,5,1,15,,,,,,,,,,,,,,,,,,
EDGE,EDGE,TIC_-1_2,GIN_-1_3,,,,,,,,,50,5,0,15,,,,,,,,,,,,,,,,,,
EDGE,EDGE,TIC_-1_2,GIN_-1_4,,,,,,,,,50,5,0,15,,,,,,,,,,,,,,,,,,
EDGE,EDGE,TIC_-1_2,GIN_-1_5,,,,,,,,,50,5,1,15,,,,,,,,,,,,,,,,,,
EDGE,EDGE,TIC_-1_3,GIN_-1_1,,,,,,,,,50,5,0,15,,,,,,,,,,,,,,,,,,
EDGE,EDGE,TIC_-1_3,GIN_-1_2,,,,,,,,,50,5,0,15,,,,,,,,,,,,,,,,,,
EDGE,EDGE,TIC_-1_3,GIN_-1_3,,,,,,,,,50,5,0,15,,,,,,,,,,,,,,,,,,
EDGE,EDGE,TIC_-1_3,GIN_-1_4,,,,,,,,,50,5,1,15,,,,,,,,,,,,,,,,,,
EDGE,EDGE,TIC_-1_3,GIN_-1_5,,,,,,,,,50,5,0,15,,,,,,,,,,,,,,,,,,
EDGE,EDGE,TIC_-1_4,GIN_-1_1,,,,,,,,,50,5,0,15,,,,,,,,,,,,,,,,,,
EDGE,EDGE,TIC_-1_4,GIN_-1_2,,,,,,,,,50,5,0,15,,,,,,,,,,,,,,,,,,
EDGE,EDGE,TIC_-1_4,GIN_-1_3,,,,,,,,,50,5,0,15,,,,,,,,,,,,,,,,,,
EDGE,EDGE,TIC_-1_4,GIN_-1_4,,,,,,,,,50,5,0,15,,,,,,,,,,,,,,,,,,
EDGE,EDGE,TIC_-1_4,GIN_-1_5,,,,,,,,,50,5,0,15,,,,,,,,,,,,,,,,,,
EDGE,EDGE,TIC_-1_5,GIN_-1_1,,,,,,,,,50,5,1,15,,,,,,,,,,,,,,,,,,
EDGE,EDGE,TIC_-1_5,GIN_-1_2,,,,,,,,,50,5,0,15,,,,,,,,,,,,,,,,,,
EDGE,EDGE,TIC_-1_5,GIN_-1_3,,,,,,,,,50,5,0,15,,,,,,,,,,,,,,,,,,
EDGE,EDGE,TIC_-1_5,GIN_-1_4,,,,,,,,,50,5,0,15,,,,,,,,,,,,,,,,,,
EDGE,EDGE,TIC_-1_5,GIN_-1_5,,,,,,,,,50,5,0,15,,,,,,,,,,,,,,,,,,
EDGE,EDGE,GIN_-1_1,STAIR_-1_1,,,,,,,,,30,20,0,30,,,,,,,,,,,,,,,,,,
EDGE,EDGE,GIN_-1_1,STAIR_-1_2,,,,,,,,,30,20,0,30,,,,,,,,,,,,,,,,,,
EDGE,EDGE,GIN_-1_1,STAIR_-1_3,,,,,,,,,30,20,0,30,,,,,,,,,,,,,,,,,,
EDGE,EDGE,GIN_-1_2,STAIR_-1_1,,,,,,,,,30,20,0,30,,,,,,,,,,,,,,,,,,
EDGE,EDGE,GIN_-1_2,STAIR_-1_2,,,,,,,,,30,20,0,30,,,,,,,,,,,,,,,,,,
EDGE,EDGE,GIN_-1_2,STAIR_-1_3,,,,,,,,,30,20,0,30,,,,,,,,,,,,,,,,,,
EDGE,EDGE,GIN_-1_3,STAIR_-1_1,,,,,,,,,30,20,0,30,,,,,,,,,,,,,,,,,,
EDGE,EDGE,GIN_-1_3,STAIR_-1_2,,,,,,,,,30,20,0,30,,,,,,,,,,,,,,,,,,
EDGE,EDGE,GIN_-1_3,STAIR_-1_3,,,,,,,,,30,20,0,30,,,,,,,,,,,,,,,,,,
EDGE,EDGE,GIN_-1_4,STAIR_-1_1,,,,,,,,,30,20,0,30,,,,,,,,,,,,,,,,,,
EDGE,EDGE,GIN_-1_4,STAIR_-1_2,,,,,,,,,30,20,0,30,,,,,,,,,,,,,,,,,,
EDGE,EDGE,GIN_-1_4,STAIR_-1_3,,,,,,,,,30,20,0,30,,,,,,,,,,,,,,,,,,
EDGE,EDGE,GIN_-1_5,STAIR_-1_1,,,,,,,,,30,20,0,30,,,,,,,,,,,,,,,,,,
EDGE,EDGE,GIN_-1_5,STAIR_-1_2,,,,,,,,,30,20,0,30,,,,,,,,,,,,,,,,,,
EDGE,EDGE,GIN_-1_5,STAIR_-1_3,,,,,,,,,30,20,0,30,,,,,,,,,,,,,,,,,,
EDGE,EDGE,GIN_-1_1,PLAT_-1_1,,,,,,,,,80,15,0,30,,,,,,,,,,,,,,,,,,
EDGE,EDGE,GIN_-1_1,PLAT_-1_2,,,,,,,,,80,15,0,30,,,,,,,,,,,,,,,,,,
EDGE,EDGE,GIN_-1_2,PLAT_-1_1,,,,,,,,,80,15,0,30,,,,,,,,,,,,,,,,,,
EDGE,EDGE,GIN_-1_2,PLAT_-1_2,,,,,,,,,80,15,0,30,,,,,,,,,,,,,,,,,,
EDGE,EDGE,GIN_-1_3,PLAT_-1_1,,,,,,,,,80,15,0,30,,,,,,,,,,,,,,,,,,
EDGE,EDGE,GIN_-1_3,PLAT_-1_2,,,,,,,,,80,15,0,30,,,,,,,,,,,,,,,,,,
EDGE,EDGE,GIN_-1_4,PLAT_-1_1,,,,,,,,,80,15,0,30,,,,,,,,,,,,,,,,,,
EDGE,EDGE,GIN_-1_4,PLAT_-1_2,,,,,,,,,80,15,0,30,,,,,,,,,,,,,,,,,,
EDGE,EDGE,GIN_-1_5,PLAT_-1_1,,,,,,,,,80,15,0,30,,,,,,,,,,,,,,,,,,
EDGE,EDGE,GIN_-1_5,PLAT_-1_2,,,,,,,,,80,15,0,30,,,,,,,,,,,,,,,,,,
EDGE,EDGE,PLAT_-1_1,GOUT_-1_1,,,,,,,,,80,80,0,40,,,,,,,,,,,,,,,,,,
EDGE,EDGE,PLAT_-1_1,GOUT_-1_2,,,,,,,,,80,80,1,40,,,,,,,,,,,,,,,,,,
EDGE,EDGE,PLAT_-1_1,GOUT_-1_3,,,,,,,,,80,80,0,40,,,,,,,,,,,,,,,,,,
EDGE,EDGE,PLAT_-1_1,GOUT_-1_4,,,,,,,,,80,80,0,40,,,,,,,,,,,,,,,,,,
EDGE,EDGE,PLAT_-1_1,GOUT_-1_5,,,,,,,,,80,80,0,40,,,,,,,,,,,,,,,,,,
EDGE,EDGE,PLAT_-1_2,GOUT_-1_1,,,,,,,,,80,80,1,40,,,,,,,,,,,,,,,,,,
EDGE,EDGE,PLAT_-1_2,GOUT_-1_2,,,,,,,,,80,80,0,40,,,,,,,,,,,,,,,,,,
EDGE,EDGE,PLAT_-1_2,GOUT_-1_3,,,,,,,,,80,80,0,40,,,,,,,,,,,,,,,,,,
EDGE,EDGE,PLAT_-1_2,GOUT_-1_4,,,,,,,,,80,80,1,40,,,,,,,,,,,,,,,,,,
EDGE,EDGE,PLAT_-1_2,GOUT_-1_5,,,,,,,,,80,80,0,40,,,,,,,,,,,,,,,,,,
EDGE,EDGE,GOUT_-1_1,EXIT_-1_1,,,,,,,,,10,10,1,15,,,,,,,,,,,,,,,,,,
EDGE,EDGE,GOUT_-1_1,EXIT_-1_2,,,,,,,,,10,10,0,15,,,,,,,,,,,,,,,,,,
